x	y	z	score	incomprehensibleMarkings	offensiveMarkings
men	windows	thinly veiled	[1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,4,4]	1	0
women	cinema	independent and European	[1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5]	0	0
relationships	source	open	[1,1,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5]	0	0
people	condoms	ultra-thin for maximum pleasure	[1,1,2,2,2,3,3,4,4,4,5,5,5]	0	1
sex	misery	actual	[1,1,1,1,2,2,2,3,3,4,4,4]	1	0
women	timers	old	[1,1,2,2,2,2,2,2,3,3,3,4]	1	0
coffee	marriages	strong	[1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,5,5]	0	0
pornographic videos	graduations	full of teens	[2,2,2,2,2,3,3,3,4,4,4,4,4,5,5]	0	0
men	refuse	well	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2]	1	0
women	vodka	cold, cheap and tasteless	[2,2,3,3,4,4,4,5]	1	0
coffee	sky dives	when I get to the bottom, I feel alive again	[1,1,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5]	0	0
women	bread	full of yeast	[1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,4,5]	0	0
women	dopamine reuptake	uninhibited	[1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,4,4,5,5]	1	0
sex	beauty	softer	[1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,4]	1	0
partners	wheels	at least 4 available at all times	[2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,5,5,5]	0	0
women	biblical movies	yelling "Jesus" the whole time	[2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5]	0	0
products	people	non-toxic	[1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,5,5]	0	0
ex	soap	on the floor of a prison	[1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5]	0	0
particles	variables	split	[1,1,1,1,1,1,2,2,2,4,4,4]	1	0
partners	exchange	secret	[1,1,2,2,2,2,2,2,2,2,2,2,3,3]	1	0
women	tests	independent	[1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3]	1	0
beer	women	blonde and Belgian	[1,1,1,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5]	0	0
women	coat hangers	supportive	[1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,5]	0	0
time	authorities	a harsh mistress	[1,1,1,1,2,2,2,2,3,3,4,4,5,5]	1	0
women	weather	inconsistent	[1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,5,5]	0	0
partners	horse riding instructors	always letting me sit on top	[1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4]	0	0
men	GRE test	hard and necessary	[1,1,2,2,2,2,3,3,3,3,4,4,4]	1	0
soil	women	you have to get dirty to make it worth your while	[1,1,2,2,2,2,2,3,3,3,4,4,4,4]	1	0
men	competitors	distinguished	[1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,5,5]	0	0
hands	work	as a job	[1,1,1,1,3,3,3,3,3,3,5,5]	1	0
logic	logic	circular and like my logic	[1,1,1,2,2,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5]	0	0
oatmeal	women	thick	[1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,5,5,5]	0	0
coffee	streets	dirty	[1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3]	1	0
heart	dad	beating	[2,2,2,3,3,4,4,4,4,4,5,5,5,5]	0	1
women	TVs	60 inches wide and completely flat	[1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,5,5,5]	0	0
mom	tea	less than coffee	[1,1,1,1,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4]	1	0
lips	Coca Cola	Oh, how it pops and fizzes	[1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3]	0	0
women	Red Bull	strong, sweet and constantly giving me heart palpitations	[1,2,2,2,3,3,3,3,4,4,4,5,5,5,5]	0	1
shoes	socks	otherwise they don't fit and that would just be really embarassing	[1,1,1,1,2,2,3,4,4,4,5,5,5]	1	0
girls	ice-cream	melting in my tongue	[1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,5,5]	0	0
porn	halloween costumes	slightly scary and with lots of tentacles	[1,1,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5]	0	0
men	bananas	immature and green	[1,1,2,2,2,2,3,3,3,3,4,5]	1	0
nuclear waste	ex mermaid girlfriend	dumped in the ocean	[1,1,1,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5]	0	0
steak fries	pizza guy	bottomless	[1,1,1,1,1,1,2,2,2,2,4,4,4,4]	1	0
women	sons	captive	[1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,5,5,5,5]	0	0
women	microwave	killing any baby I put inside her	[1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5]	0	1
internet connections	seatbelts	secured	[1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4]	0	0
celery	crackers	crunchy	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,4,5]	0	0
women	flight attendants	willing to make me a member of the mile high club	[1,1,2,2,2,2,2,3,3,3,3,5,5]	1	0
base of my house	ideas	fundamental	[1,1,2,2,2,2,2,2,3,3,3,3,5]	1	0
mother-in-law	iPod charger	I keep bumping into her even though I've got a different one now	[1,1,1,2,2,3,3,4,4,4,5,5]	1	0
sex	implication	primary	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,5,5,5]	1	0
condoms	asparagus	I don't like asparagus	[1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,4,4,4,5,5]	1	0
company	pox	widespread	[1,1,1,1,1,2,2,2,2,3,4,4,5]	1	0
men	members	sitting	[1,1,1,1,1,1,1,1,1,1,1,1,4,4]	1	0
women	roads	curvy	[2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5]	0	0
men	tea	sweet and English	[1,1,1,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5]	0	0
partners	threads	equal to the number of cores in my computer	[1,1,1,1,2,2,2,3,3,3,4,4,5]	1	0
Jews	new year celebration	countdown to zero	[1,1,2,2,2,2,2,3,4,4]	0	1
women	snake jaws	easily unhinged	[1,1,1,1,1,1,2,2,2,3,3,3,4,4,4]	1	0
people	cookie jars	hidden	[1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,5]	0	0
friends	jokes	transparent	[1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4]	0	0
I	like	I my like my I like my	[1,1,1,1,2,2,4,4,4,4,5,5,5,5]	1	0
men	conflict	armed	[1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,5,5]	0	0
peanut butter	women	super chunky	[1,1,1,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4]	0	0
people	lamp shades	great to read with	[1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4]	0	0
men	roller skates	unstable	[1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,5]	0	0
educational videos	slippers	they massively increase my vulnerability to fire ants	[1,1,1,1,2,2,3,3,3,3,4,4,4,4]	1	0
lovers	persons	lesbian	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,4,4]	0	0
Grades	State of mind when I wrote my thesis	High	[1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,5,5,5]	0	0
men	coffee	all over my crotch while driving	[1,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5]	0	0
waffles	women	hot, greasy and bought in a street in Antwerp for €1,5	[2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5]	0	1
father	times	present	[1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,5]	0	0
coffee	nothing	artisanal	[1,1,1,1,2,2,2,2,2,2,5,5,5,5]	1	0
coffee	men	boiling hot and poured down the front of me as I walk into a sliding glass door	[1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,4,4]	1	0
men	whiskey	strong and Scottish	[1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,5,5]	0	0
mother-in-law	paint brush	dried up lying in the closet	[1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,5,5,5,5,5,5,5,5]	0	0
coffee	women	white, weak and cries after sex	[1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,4,4,5]	0	0
men	example	fine	[1,1,1,1,1,1,1,1,2,2,2,4,4]	1	0
brother	phone	near me	[1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,5]	0	0
partners	newspapers	coming daily	[2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5]	0	0
women	zombies	mindless, moaning and easily avoidable	[1,1,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5]	0	0
women	bed	home	[1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3]	0	0
phones	women	thick and made in Asia	[1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5]	0	0
X	Y	substituted	[1,1,1,1,1,1,2,2,3,3,3,3,3,4,4,4,5,5]	1	0
boom boxes	books	in the library	[1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4]	0	0
sex	basketball	one-one-one and with little dribbling	[1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5,5]	1	0
infomercials shows	bathroom 	mired in false enthusiasm	[1,1,1,2,2,2,3,3,3,3,3,3,4,4]	1	0
spiders	estate agents	dead	[1,1,1,2,2,2,3,3,3,3,3,4,4,4]	1	0
old people	flowers	in the graveyard	[1,1,2,2,3,3,3,3,4,4,4,4,4]	0	1
watch	sausage	with a face	[1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,5,5]	1	0
father	socks	gone	[1,1,2,2,2,2,3,3,3,3,4,4,5]	0	1
brother	Christians	turning the other cheek when I call him 'little bitch'	[1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,5,5]	0	0
surveys	fines	I don't	[1,1,1,2,2,2,2,2,3,3,3,4,4]	1	0
men	apples	I'm allergic to apples	[1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4]	0	0
men	protest	feminine	[1,1,1,1,2,2,2,2,3,3,4,4,5,5]	1	0
women	cooperatives	agricultural	[1,1,1,1,2,2,2,2,2,3,3,4]	1	0
prostate exams	police brutality	gratuitous	[1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,4,4,4,5]	1	0
men	names	forgotten	[1,1,1,1,1,1,1,2,2,3,4,4,4]	1	0
women	personality	attractive	[1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,4,4,4,4,5,5]	0	0
people	cheese	white and American	[1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,5,5]	0	1
coffee	relationships	easy to make and disposable	[1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5]	0	0
sonic OC	precious diamonds	do not steal	[1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2]	1	0
dad	god	present	[1,1,2,2,2,2,2,2,3,3,3,4,4]	1	0
tea bags	condoms	steeped in moisture	[1,1,1,2,2,3,3,3,3,3,3,3,4,5]	0	1
sex	emotions	basic	[1,1,2,2,3,3,3,3,3,3,3,4,4,4]	1	0
chess climaxes	Australian dinners	check, mate	[2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5]	1	0
jokes	Germans	humourless	[1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4]	0	0
coffee	moment	concentrated	[1,1,1,1,1,1,1,2,2,2,2,2,3,5]	1	0
parties	hospitals	mental	[1,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5]	0	0
women	washing machines	doing laundry	[1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,5,5,5,5,5,5]	0	0
girlfriends	highways	federally funded	[1,1,2,2,2,2,3,3,3,3,3,4,5]	1	0
fantasy	casseroles	with a bit of everything mixed in	[1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3]	0	0
girlfriend	windows	10	[1,1,2,2,2,3,3,4,4,4,4,4,5]	1	0
Sir Mix A Lot	Abraham Lincoln	unable to tell a lie	[1,1,2,2,3,3,3,3,3,3,4,4,4,4]	1	0
men	coffee	out of a joyless sense of obligation	[1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,5,5,5]	0	0
coffee	action movies	I get headaches without them	[1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4]	0	0
women	elevators	going down	[2,2,2,3,3,4,4,4,4,4,4,4,5,5]	0	1
metal	furniture	Swedish and unnecessarily complicated	[1,1,2,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5]	1	0
women	Oscar Pistorius	absolutely legless	[1,1,2,2,2,2,3,3,3,3,3,3,4,4]	1	0
coffee	war	cold	[1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4]	0	0
liquor	men	dark	[1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,5,5]	0	0
left	boiled eggs	soft	[1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2]	1	0
women	educational videos	from the 50's and filled with herpes warnings	[1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,5,5]	0	0
women	flowers	artificial	[1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,5]	0	0
men	parliaments	hung	[2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,5,5]	1	0
mouse	computer	grey	[1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4]	0	0
men	pocket	enormous	[1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,5,5,5,5]	0	0
drinks	men	strong, sweet and under an umbrella	[1,1,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,5]	1	0
women	Mac	inferior, but pretty	[2,2,2,3,3,4,4,4,4,5,5,5,5]	0	1
liquor	police officers	on the street	[1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,5,5]	0	0
sex	tinderboxes	lit	[1,1,1,2,2,2,3,3,3,3,3,4,4,5]	0	1
women	pizza	hot and ready for $5	[1,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5]	0	0
coffee	metal	black	[1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,5,5,5,5,5]	0	0
coffee beans	immigration	approved on a case by case basis.	[1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,5]	0	0
news	boobs	fake	[1,1,2,2,2,4,4,4,4]	0	0
trees	women	you can tell the age by counting the number of rings	[1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5]	0	0
Algorithms	Soup	Bug-free	[1,1,1,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5]	0	0
climate	parties	political	[1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,5]	0	0
humping	martinis	dry	[1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,5]	0	0
coffee	sense of humor	dark and scalding	[1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,5,5]	0	0
partners	sharpies	all dried up	[1,2,2,2,2,2,3,3,4,5,5,5]	1	0
partners	gas stations	unoccupied at midnight	[1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5]	0	0
girls	decisions	conscious	[1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,5,5]	0	0
sex	sushi	raw	[1,1,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5]	1	0
soaps	life	short, depressing, and cancelled because of the protagonist dying in real life	[1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,5,5]	0	0
men	society	heartless	[1,1,1,2,2,2,2,2,2,2,3,4,4,5]	0	1
women	dream	tender	[1,1,1,1,1,2,2,2,2,2,3,3,4]	1	0
mother-in-law	mirror	ugly	[1,1,1,1,2,2,2,2,2,2,2,2,3]	0	1
ex-wife	thermometer	poisonous inside	[1,1,1,1,3,3,3,4,4,4,5,5,5]	0	1
coffee	metal moulders	polished	[1,1,1,1,2,2,2,2,2,2,2,2,5,5,5,5]	1	0
mother	mood	jealous	[1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3]	1	0
lovers	soldiers	well-trained and slow to shoot	[3,3,3,4,4]	1	0
coffee	rays	concentrated	[1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,4,4]	1	0
women	milk	rich, white and with 2% fat	[1,1,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5]	0	0
liquor	security guards	lethal	[1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,5,5]	0	0
coffee	hero	shining	[1,1,1,1,1,1,1,1,1,1,1,2,2,2,3]	0	1
sex	Russian roulette	when shit goes really wrong you die	[1,1,1,1,2,2,3,3,3,4,4,4,4,4,5,5,5]	0	0
partners	dogs	loving me unconditionally	[1,1,1,2,2,2,2,3,3,3,4,4,4,4,5]	0	1
canals	civilization	Hand made	[1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,4,4,5,5]	1	0
shopping bags	Snickers	without plastic please	[1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,5]	0	0
semen	chips	in my stomach	[1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4]	0	0
sex	slaughter houses	frightening	[1,1,1,2,2,2,2,2,2,2,3,3,3,4]	0	1
ex	attachment	forgotten	[1,1,1,1,2,2,3,3,3,4,4,4,4,5,5]	1	0
women	whiskey	12 years old and dashed on the rocks	[1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,5,5,5,5]	0	0
men	whiskey	aged and mellow	[1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5]	0	0
future kids	baboons	little, cute & wicked thiefs	[1,1,1,2,2,2,3,3,4,4,4,4]	0	1
coffee	fortune	falling	[1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3]	1	0
quiches	women	I'm not quichekeurig	[1,1,1,2,2,3,3,4,4,5,5,5,5,5,5,5]	0	1
women	coffee	with a tongue-twistingly pretentious name	[1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,5]	0	0
food on my plate	church and state	seperated	[1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,5,5,5,5]	0	0
men	dentists	caring	[1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3]	0	0
life	transitions	cut short	[1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4]	1	0
men	beauty	sleeping	[1,1,1,1,1,2,2,2,2,3,3,3,4]	1	0
men	Potters	Harry	[1,1,1,2,2,3,3,3,3,4,4,4,5]	1	0
women	psychologists	only talk when laying down	[1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4]	0	0
coffee	men	fine if somebody is paying, but I really prefer tea	[1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5]	0	0
hair salonz	covfefe	misspelled	[1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,4,5,5,5]	0	0
lovers	soldiers	well-trained and slow to shoot	[1,4,4,4]	1	0
women	laughter	silly	[1,1,1,2,2,2,2,2,2,3,3,4,5]	1	0
coffee	buildings	empty	[1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,4,5]	0	0
men	race	proud	[1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2]	0	1
bass	sofa	low	[1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4]	0	0
boyfriends	war movies	the one you like best dies in the end	[1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,5]	0	0
showers	sun	hot, melts my body, kills me	[1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,5,5]	0	0
men	girls	spirited	[1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,4,4,5,5]	1	0
sex	slave	female	[1,1,1,1,2,2,2,2,2,2,2,2,4,4]	0	1
women	officer	headed	[1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,5,5]	1	0
women	coffee	covered in bees	[1,1,1,1,2,2,2,3,3,4,4,5]	1	0
women	Ikea furniture	with a few screws missing	[2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5]	0	0
advice	educators	helpful	[1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,4]	0	0
people	vegetables	indigenous	[1,1,2,2,2,2,2,2,3,3,3,3,4,4]	1	0
sex	wallet	empty	[1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4]	1	0
hardware	people	chunky, experimental and lying by my side in my messy bed as I drift off to sleep	[1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,5]	0	0
eyebrows	caterpillars	small, scrunched up and ready to crawl off my face at any moment	[1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4]	0	0
covfefe	men	Drumpf	[1,1,1,1,1,1,2,2,2,2,2,3,3,3,4,4,4,5,5,5]	1	0
men	sofa	having something big to sit on	[1,2,2,2,2,2,3,3,3,3,4,4,5]	1	0
thighs	peanut butter	chunky and easy to spread	[1,2,2,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5]	1	0
coffee	men	Straight after Sunday mass	[2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5]	1	0
women	neurotransmitter agonists	existing	[1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,4,4,4,4]	1	0
coffee	outlets	if I put my finger in one, it hurts	[1,2,2,2,2,2,3,3,3,4,4,4]	1	0
sex	police stations	surrounded by cameras	[1,2,2,3,3,3,3,3,4,4,4,4,5]	0	1
sex	grid papers	meticulous	[1,1,1,2,2,2,2,2,3,3,3,3,3]	1	0
tea	pipes	flavored	[1,1,1,1,2,2,2,2,2,3,3,3,4]	1	0
girlfriends	meteorologists	wet and excited	[1,1,1,2,3,3,3,4,4,4,4,4,4]	0	1
women	coffee beans	ground up and in the freezer	[1,1,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5]	0	1
dick	forceps	big and veiny	[1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3]	0	1
massages	Disney movies	with happy endings	[1,1,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5]	0	0
mother	papers	forgotten	[1,1,1,1,1,1,2,2,3,3,3,3,4,4]	0	1
women	tests	mental	[1,2,2,2,2,3,3,4,4,4,4,4,5]	1	0
jokejudger filters	tinder dates	riddled with insecurities	[2,2,2,3,3,3,3,3,3,4,4,5]	1	0
men	cloth	brown	[1,1,1,1,1,1,2,2,2,2,3,3,3]	1	0
baseball	beer	free	[1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3]	1	0
women	art	pretty and silent	[1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,5,5]	0	0
men	soul	struggling	[1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,5]	0	0
sex	news shows	angry and 24 hours long	[1,1,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5]	1	0
men	first time driving	exciting yet hopefully I don't die	[1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,5,5]	0	0
sex	water guns	fully loaded	[1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4]	1	0
women	balloons	floating away with me	[1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4]	0	0
partner	thermometer	if you drop her, she breaks	[1,2,2,2,2,2,3,4,5,5,5,5,5]	0	1
beer	violence	domestic	[1,1,1,2,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5]	0	1
men	cake mixes	always a little dissappointing in the end	[1,1,2,2,2,3,3,3,3,4,4,4,5]	1	0
tights	Apple phone's screen	not damaged for a change	[1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,5,5,5]	0	0
civil liberties	women	abused and taken for granted	[1,1,2,2,2,3,3,3,3,3,4,4,4,5,5]	0	1
fingers	limitations	breaking them is just one step to breaking the latter	[1,1,1,1,1,2,2,2,3,3,3,3,4]	1	0
women	ceiling fan	always blowing	[2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5]	0	0
teen drama shows	tooth picks	thrown away within three seconds	[1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,4,4,4,4,4,5,5,5]	0	0
coffee	guest	handsome	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,5,5]	1	0
partners	tree houses	loved as children then forgotten	[1,2,2,2,3,4,4,4,4,4,4,4]	1	0
coffee	crowbars	Black and strong	[1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4]	1	0
coffee	symbol	magnificent	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]	0	0
women	sand	loose	[1,1,2,2,2,2,2,2,2,3,3,3,4,4,4]	0	1
